,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Near Villavicencio, Colombia",Transoriente Colombia,Villavicencio - La Primavera - Puerto Carreno,Douglas DC-3 (C-53D-DO),29,7,0,1994,05,28
,"Kodiak, Alaska",Air Taxi - Uyak Air Services Inc.,Sightseeing,de Havilland DHC-2,7,6,0,1994,08,07
,"Near Xi'an, China",China Northwest Airlines,Xian - Guangzhou,Tupolev TU-154M,160,160,0,1994,06,06
,"Near Uruapan, Mexico",Aerolineas Cuahonte,Lazaro - Cardenas - Michoacan,Swearingen SA.226TC Metro II,9,9,0,1994,06,13
,"Chantilly, Virginia",TAESA,Mexico City - Washington D.C.,Learjet 25D,12,12,0,1994,06,18
,"Mt.  Kalora, Indonesia",Merpati Nusantara Airlines,Balikpapan - Palu,Fokker F-27 Friendship 500F,12,12,0,1994,06,18
,"Jeneau, Alaska",Air Taxi - Sun Western Flyers Inc.,"Taku Lodge, AK - Taku Lodge, AK",de Havilland DHC-3,10,9,0,1994,06,22
,"Abidjan, Ivory Coast",Air Ivorie,San Pedro - Abidjan,Fokker F-27 Friendship 400M,17,17,0,1994,06,26
,"Near Logar, Afghanistan",Military - Dostum-Galboddin Militia,,Antonov AN-32,70,50,0,1994,06,29
,"Toulouse-Blagnac, France",Airbus Industrie,Toulouse - Toulouse,Airbus A330-321,7,7,0,1994,06,30
,"Near Tidjika, Mauritania",Air Mauritanie,Nouakchott - Tidjikja,Fokker F-28 Fellowship 4000,93,80,0,1994,07,01
,"Charlotte, North Carolina",USAir,"Columbia, SC - Charlotte, NC",McDonnell Douglas DC-9-30,57,37,0,1994,07,02
,"Portage Creek, Alaska",Air Taxi - Peninsula Airways,"Portage Creek, AK - Dillingham, AK",Piper PA-32-301,3,3,0,1994,07,11
,"Hanalei, Hawaii",Air Taxi - Papillion Helicopters Ltd.,"Lihue, HI - Lihue, HI",Aerospatiale AS350D,7,3,0,1994,07,14
,"Near Fort de France, Martinique",Air Martinique,Bridgetown - Fort de France,Britten-Norman BN-2B-26 Islander,6,6,0,1994,07,17
,"Boma, DemocratiRepubliCongo",Sankuru Air Service,Training,Yakovlev 40D,9,5,0,1994,07,17
,"Colon, Panama",Alas Chiricanas,Colon - Panama City,Embraer 110P1 Bandeirante,21,21,0,1994,07,19
,"East Kalimantan, Indonesia",Airfast Services,Kilo Lima - Kelawit,Sikorsky S-58ET,18,18,0,1994,07,26
,"Near Boda, Russia",Military - Russian Air Force,Dzhida - Boda,Antonov AN-12,47,47,0,1994,08,05
,"Cheju, South Korea",Korean Airlines,Seoul - Cheju,Airbus A300B4-622R,160,0,0,1994,08,10
,"Alsworth, Alaska",Air Taxi - Talon Air Services Inc.,"Caribou Lake, AK - Nikiski, AK",de Havilland DHC-2,3,3,0,1994,08,11
,"Whiting, New Jersey",Air Taxi - National Helicopters,"New York, NY - AtlantiCity, NJ",Bell 206L-4,3,3,0,1994,08,12
,"Kenai, Alaska",Air Taxi - Lake Clark Air Inc.,"Merrill Field, AK - Port Alsworth, AK",Piper PA-32-260,4,3,0,1994,08,14
,"Near Agadir, Morocco",Royal Air Maroc,Agadir - Casablanca,Aerospatiale ATR-42-300,44,44,0,1994,08,21
,"Near Aliquippa, Pennsylvania",USAir,Chicago - Pittsburgh,Boeing B-737-3B7,132,132,0,1994,09,08
,"Near Abuja, Nigeria",Aerocontroctors - Charter,Lagos - Abuja,de Havilland Canada DHC-6 Twin Otter 300,5,3,0,1994,09,13
,"Fish Egg Inlet, Canada",PacifiCoastal Airlines,Fish Egg Inlet - Pruth Bay,de Havilland Canada DHC-6 Twin Otter 100,4,3,0,1994,09,17
,"Tamanrasset, Algeria",Oriental Airlines,Tunis - Tamanrasset,BAC One-Eleven 515FB,39,5,0,1994,09,18
,"Kowloon Bay, Hong Kong",Heavylift Cargo Airlines,Hong Kong - Jakarta,Lockheed L-100-30 Hercules,12,6,0,1994,09,23
,"Near Vanavera, Russia",Cheremshanka Airlines,Krasnoyarsk - Tura,Yakovlev YAK-40,28,28,0,1994,09,26
,"Bahia Negra, Paraguay",TAM Paraguay,Bahia Negra - Asuncion,Douglas C-47D,27,1,0,1994,09,28
,"Buenos Aires, Brazil",Radeair,"Cordoba Pajas Blancas - Buenos Aires, Brazil",Rockwell 1121B Jet Commander,9,8,0,1994,09,29
,"Chaibukha, Russia",Arsenyev Aviation Production Association,Chaibukha - Provedenia,Antonov AN-8,20,8,0,1994,09,30
,"Lobito, Angola",SL Aviation Services,,Douglas DC-3,2,2,0,1994,12,15
,"Mitu, Colombia",SELVA,Villavicencio - Mitu,Antonov AN-32B,10,10,0,1994,10,08
,"Krakas Mountains, near Natanz , Iran",Iran Asseman Airlines,Isfahan - Terhan,Fokker F-28 Fellowship 1000,66,66,0,1994,10,12
